,UID,iso2,iso3,code3,Admin2,Country_Region,Lat,Long_,Province_State,Combined_Key,Population,FIPS
0,16,AS,ASM,16,,US,-14.270999999999999,-170.132,American Samoa,"American Samoa, US",55641,60
1,316,GU,GUM,316,,US,13.4443,144.7937,Guam,"Guam, US",164229,66
2,580,MP,MNP,580,,US,15.0979,145.6739,Northern Mariana Islands,"Northern Mariana Islands, US",55144,69
3,630,PR,PRI,630,,US,18.2208,-66.5901,Puerto Rico,"Puerto Rico, US",2933408,72
4,850,VI,VIR,850,,US,18.3358,-64.8963,Virgin Islands,"Virgin Islands, US",107268,78
5,84001001,US,USA,840,Autauga,US,32.53952745,-86.64408227,Alabama,"Autauga, Alabama, US",55869,1001
6,84001003,US,USA,840,Baldwin,US,30.72774991,-87.72207058,Alabama,"Baldwin, Alabama, US",223234,1003
7,84001005,US,USA,840,Barbour,US,31.868263,-85.3871286,Alabama,"Barbour, Alabama, US",24686,1005
8,84001007,US,USA,840,Bibb,US,32.99642064,-87.12511459999996,Alabama,"Bibb, Alabama, US",22394,1007
9,84001009,US,USA,840,Blount,US,33.98210918,-86.56790593,Alabama,"Blount, Alabama, US",57826,1009
10,84001011,US,USA,840,Bullock,US,32.10030533,-85.71265535,Alabama,"Bullock, Alabama, US",10101,1011
11,84001013,US,USA,840,Butler,US,31.75300095,-86.68057478,Alabama,"Butler, Alabama, US",19448,1013
12,84001015,US,USA,840,Calhoun,US,33.77483727,-85.82630386,Alabama,"Calhoun, Alabama, US",113605,1015
13,84001017,US,USA,840,Chambers,US,32.91360079,-85.39072749,Alabama,"Chambers, Alabama, US",33254,1017
14,84001019,US,USA,840,Cherokee,US,34.17805983,-85.60638968,Alabama,"Cherokee, Alabama, US",26196,1019
15,84001021,US,USA,840,Chilton,US,32.85044126,-86.7173256,Alabama,"Chilton, Alabama, US",44428,1021
16,84001023,US,USA,840,Choctaw,US,32.02227341,-88.26564429999998,Alabama,"Choctaw, Alabama, US",12589,1023
17,84001025,US,USA,840,Clarke,US,31.68099859,-87.83548597,Alabama,"Clarke, Alabama, US",23622,1025
18,84001027,US,USA,840,Clay,US,33.26984193,-85.85836077,Alabama,"Clay, Alabama, US",13235,1027
19,84001029,US,USA,840,Cleburne,US,33.67679204,-85.52005899,Alabama,"Cleburne, Alabama, US",14910,1029
20,84001031,US,USA,840,Coffee,US,31.39932826,-85.98901039,Alabama,"Coffee, Alabama, US",52342,1031
21,84001033,US,USA,840,Colbert,US,34.69847452,-87.80168544,Alabama,"Colbert, Alabama, US",55241,1033
22,84001035,US,USA,840,Conecuh,US,31.43401703,-86.99320044,Alabama,"Conecuh, Alabama, US",12067,1035
23,84001037,US,USA,840,Coosa,US,32.93690146,-86.24847739,Alabama,"Coosa, Alabama, US",10663,1037
24,84001039,US,USA,840,Covington,US,31.247785399999998,-86.45050893,Alabama,"Covington, Alabama, US",37049,1039
