HCUPnet - Hospital Inpatient State Statistics,,,,,,,
,,,,,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: All Stays | Principal or All-Listed: Principal | Outcome and Measures: Number, Aggregate charges, Aggregate costs, Age (mean) | Patient Characteristics: Age groups, Sex, Payer, Location of patient's residence | Hospital/Facility Characteristics: Hospital ownership, Hospital bedsize | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,,,,,
,,,,,,,
2016  Arizona,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,687475,100,47.6911161128,36563846125.05,7863687974.38007,
Age group,<1,90624,13.1821520783,0,1668392658.97,401367478.538063,
,1-17,23869,3.4719807993,8.9694163978,1157341313.76,324681142.220974,
,18-44,174118,25.3271755337,30.514903686,6766006550.17,1464794220.0097,
,45-64,156684,22.791228772,55.6741594547,10792942533.9599,2301598587.07115,
,65-84,196534,28.5878031928,73.648824122,13724424769.15,2866591860.23585,
,85+,45494,6.6175497291,89.1143447488,2445107766.04,502192238.770682,
,Missing,152,0.0221098949,---,9630533,2462447.53331351,
Sex,Male,301855,43.9077784647,49.7488716722,18518532686.7,3988218072.13961,
,Female,384996,56.0014545983,46.0706838995,18012471858.11,3868547435.30744,
,Missing,624,0.090766937,52.1266025641,32841580.24,6922466.93249365,
Payer,Medicare,265176,38.5724571803,72.7093217079,17749859791.83,3707195437.03132,
,Medicaid,207646,30.2041528783,27.8116740141,8742102372.17,1957225329.45216,
,Private insurance,178659,25.987708644,35.5113956366,8384967572.99,1832573657.78496,
,Uninsured,16508,2.4012509546,34.1621605238,631525054.36,132842129.232876,
,Other,19471,2.8322484454,42.0755521315,1054338865.29,233634475.518524,
,Missing,15,0.0021818975,58.5333333333,1052468.41,216945.359956688,
Patient residence,Large central metro,404337,58.8147932652,45.7717101455,21659112865.49,4546539656.5136,
,Large fringe metro (suburbs),41028,5.9679261064,49.0867583248,2456124026.57,513849302.377167,
,Medium and small metro,201097,29.2515364195,50.9694040987,10288436420.78,2254420688.309,
,Micropolitan and noncore (rural),37047,5.3888505037,50.2092445596,1974756192,505631614.169572,
,Missing,3966,0.5768937052,39.2042875158,185416620.21,43246713.0107159,
Owner,Government,27154,3.949816357,40.6444993,1532581529.95,373830430.114765,
,"Private, Not For Profit",504679,73.4105240191,46.6808528771,26882759659.4,5965188857.33503,
,"Private, For Profit",155642,22.639659624,52.1953158131,8148504935.7,1524668686.93031,
Bedsize,Small,57057,8.2995018001,49.9611400326,2567198581.04,670603220.220193,
,Medium,179367,26.0906942071,51.7750209088,9497227045.68,2035582269.50982,
,Large,451051,65.6098039929,45.7795760686,24499420498.33,5157502484.6499,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Arizona Department of Health Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Arkansas,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,369775,100,50.1155316093,12216161563.58,3346430579.94455,
Age group,<1,41482,11.2181732134,0,735131195.05,265856482.840462,
,1-17,10369,2.8041376513,9.0578647893,301094167,144918576.925077,
,18-44,87756,23.7322696234,30.5504466931,2081707564.79,550272038.687015,
,45-64,91923,24.8591711176,55.6063118044,3796168267.43,987893749.547571,
,65-84,110224,29.8083969982,73.892192263,4491152795.49,1176289859.43494,
,85+,27963,7.5621661821,89.3132353467,808551890.82,220389105.223556,
,Missing,58,0.015685214,---,2355683,810767.285961707,
Sex,Male,155794,42.1321073626,51.0725525317,5885478228.93,1621468233.55179,
,Female,213886,57.8422013387,49.4154419501,6326224058.65,1724020768.49053,
,Missing,95,0.0256912988,56.9789473684,4459276,941577.902202937,
Payer,Medicare,154142,41.6853491988,71.823240122,5931968395.09,1567553535.64966,
,Medicaid,72541,19.6176053005,24.1894086666,1608480123.18,425381597.269854,
,Private insurance,112130,30.3238455818,38.6087383144,3746489938.26,1110968242.07767,
,Uninsured,9611,2.5991481306,30.4136136553,221386275.3,56319357.6087324,
,Other,20596,5.5698735718,51.3803117867,684168189.75,177743145.158374,
,Missing,755,0.2041782165,33.97875166,23668642,8464702.18028956,
Patient residence,Large central metro,794,0.2147251707,49.2632241814,34378981,9674145.26560547,
,Large fringe metro (suburbs),1758,0.4754242445,42.8924914676,58385222,17244418.7536201,
