
"Location","Employer","Non-Group","Medicaid","Medicare","Military","Uninsured","Total"
"United States","0.49","0.06","0.20","0.14","0.01","0.09","1.00"
"Alabama","0.47","0.05","0.20","0.16","0.02","0.10","1.00"
"Alaska","0.48","0.04","0.21","0.09","0.05","0.12","1.00"
"Arizona","0.44","0.05","0.22","0.16","0.01","0.11","1.00"
"Arkansas","0.42","0.06","0.27","0.16","0.01","0.08","1.00"
"California","0.47","0.07","0.26","0.11","0.01","0.07","1.00"
"Colorado","0.52","0.07","0.18","0.12","0.02","0.08","1.00"
"Connecticut","0.54","0.05","0.21","0.14","0.01","0.05","1.00"
"Delaware","0.50","0.05","0.21","0.17","0.01","0.06","1.00"
"District of Columbia","0.53","0.07","0.28","0.08","0.01","0.03","1.00"
"Florida","0.40","0.10","0.18","0.17","0.02","0.13","1.00"
"Georgia","0.49","0.06","0.17","0.12","0.02","0.14","1.00"
"Hawaii","0.55","0.05","0.17","0.15","0.05","0.04","1.00"
"Idaho","0.47","0.09","0.17","0.15","0.02","0.11","1.00"
"Illinois","0.54","0.06","0.19","0.13","0.01","0.07","1.00"
"Indiana","0.54","0.05","0.18","0.15","0.01","0.08","1.00"
"Iowa","0.54","0.05","0.19","0.15","0.01","0.05","1.00"
"Kansas","0.55","0.06","0.14","0.14","0.02","0.09","1.00"
"Kentucky","0.47","0.04","0.26","0.15","0.02","0.06","1.00"
"Louisiana","0.42","0.05","0.29","0.13","0.02","0.08","1.00"
"Maine","0.48","0.06","0.18","0.17","0.02","0.08","1.00"
"Maryland","0.56","0.05","0.19","0.13","0.02","0.06","1.00"
"Massachusetts","0.55","0.06","0.23","0.13","0.01","0.03","1.00"
"Michigan","0.51","0.05","0.22","0.15","0.01","0.05","1.00"
"Minnesota","0.57","0.06","0.18","0.14","0.01","0.04","1.00"
"Mississippi","0.43","0.05","0.23","0.14","0.02","0.12","1.00"
"Missouri","0.52","0.06","0.15","0.16","0.01","0.09","1.00"
"Montana","0.44","0.07","0.21","0.17","0.02","0.08","1.00"
"Nebraska","0.55","0.07","0.13","0.14","0.02","0.08","1.00"
"Nevada","0.48","0.05","0.19","0.14","0.02","0.11","1.00"
"New Hampshire","0.57","0.05","0.14","0.17","0.01","0.05","1.00"
"New Jersey","0.57","0.06","0.17","0.13","0.00","0.07","1.00"
"New Mexico","0.37","0.04","0.33","0.15","0.02","0.09","1.00"
"New York","0.49","0.06","0.26","0.13","0.00","0.05","1.00"
"North Carolina","0.47","0.06","0.18","0.15","0.03","0.11","1.00"
"North Dakota","0.57","0.08","0.12","0.13","0.02","0.08","1.00"
"Ohio","0.52","0.05","0.21","0.15","0.01","0.06","1.00"
"Oklahoma","0.46","0.06","0.18","0.15","0.02","0.14","1.00"
"Oregon","0.48","0.07","0.22","0.16","0.01","0.07","1.00"
"Pennsylvania","0.52","0.05","0.20","0.16","0.01","0.06","1.00"
"Rhode Island","0.52","0.05","0.23","0.14","0.01","0.04","1.00"
"South Carolina","0.45","0.06","0.19","0.16","0.02","0.10","1.00"
"South Dakota","0.52","0.08","0.13","0.15","0.02","0.09","1.00"
"Tennessee","0.47","0.06","0.21","0.15","0.02","0.10","1.00"
"Texas","0.47","0.06","0.17","0.10","0.02","0.18","1.00"
"Utah","0.61","0.09","0.10","0.10","0.01","0.09","1.00"
"Vermont","0.49","0.06","0.23","0.16","0.01","0.04","1.00"
"Virginia","0.54","0.06","0.12","0.14","0.04","0.09","1.00"
"Washington","0.52","0.06","0.21","0.13","0.02","0.07","1.00"
"West Virginia","0.44","0.03","0.26","0.19","0.01","0.06","1.00"
"Wisconsin","0.57","0.05","0.17","0.15","0.01","0.06","1.00"
"Wyoming","0.55","0.07","0.10","0.15","0.02","0.11","1.00"
"Puerto Rico","0.23","0.08","0.48","0.14","0.01","0.06","1.00"


